,LHipAngleZ,LKneeAngleZ,LAnkleAngleZ,RHipAngleZ,RKneeAngleZ,RAnkleAngleZ
0,33.9673,1.76763,-1.79079,34.3432,5.67192,-0.752409
1,33.7169,3.10509,-1.85952,34.1318,6.89134,-0.891118
2,33.2757,3.96442,-2.7806,33.7951,7.67395,-1.94319
3,32.7261,4.29019,-4.19275,33.4305,7.98669,-3.47797
4,32.2755,4.73759,-5.19678,33.1851,8.4135,-4.57051
5,32.0867,5.8155,-5.36886,33.1406,9.42599,-4.76622
6,32.0416,7.2326,-4.93618,33.1749,10.7991,-4.26375
7,31.8089,8.39866,-4.32234,33.0244,12.0126,-3.50229
8,31.1528,9.06303,-3.71429,32.4891,12.7586,-2.73472
9,30.0975,9.29096,-3.14047,31.5532,12.9804,-2.04705
10,28.8279,9.20056,-2.6125,30.362,12.7714,-1.44735
11,27.528,8.86601,-2.13668,29.0967,12.2711,-0.926822
12,26.2909,8.36033,-1.69415,27.8685,11.6019,-0.477676
13,25.1443,7.78887,-1.25923,26.719,10.8717,-0.0801337
14,24.1074,7.24364,-0.818425,25.664,10.1745,0.295145
15,23.2126,6.79048,-0.358712,24.7158,9.56762,0.665959
16,22.4795,6.47947,0.131849,23.8746,9.06938,1.03976
17,21.8909,6.32098,0.655498,23.1292,8.66886,1.42572
18,21.3974,6.27601,1.20489,22.4638,8.34044,1.82809
19,20.9349,6.28177,1.76612,21.85,8.05469,2.23947
20,20.4429,6.28842,2.31422,21.2494,7.78925,2.6485
21,19.8747,6.27882,2.82907,20.623,7.54167,3.04781
22,19.2047,6.25658,3.30555,19.937,7.32336,3.43749
23,18.4347,6.21056,3.74104,19.1781,7.13659,3.81817
24,17.5799,6.09712,4.12909,18.3609,6.96394,4.19078
25,16.6651,5.86905,4.46472,17.5209,6.78183,4.56158
26,15.73,5.51962,4.7531,16.6976,6.57627,4.94503
27,14.8209,5.08554,5.00832,15.9301,6.34584,5.3469
28,13.983,4.61931,5.24379,15.2454,6.1007,5.75326
29,13.2374,4.16182,5.47155,14.6463,5.86116,6.15223
30,12.5784,3.73277,5.7041,14.1241,5.64603,6.5388
31,11.9822,3.3317,5.94774,13.6654,5.46125,6.90802
32,11.4175,2.9502,6.19876,13.2422,5.29828,7.25285
33,10.847,2.58097,6.45307,12.8212,5.13983,7.56381
34,10.2443,2.21948,6.70354,12.3763,4.96486,7.84734
